50,08/08,N/A,N/A,N/A,N/A
51,08/09,N/A,N/A,N/A,N/A
52,08/10,N/A,N/A,N/A,N/A
53,08/11,1274,208,69,43
54,2020/08/12,1290,225,16,17
55,2020/08/13,1306,238,16,13
56,2020/08/14,1320,252,14,14
57,2020/08/15,N/A,N/A,N/A,N/A
58,2020/08/16,N/A,N/A,N/A,N/A
59,2020/08/17,1364,287,44,35
60,2020/08/18,1377,301,13,14
61,2020/08/19,1390,311,13,10
62,2020/08/20,1405,335,15,24
63,2020/08/21,1416,360,11,25
64,2020/08/22,N/A,N/A,N/A,N/A
65,2020/08/23,N/A,N/A,N/A,N/A
66,2020/08/24,1464,386,48,26
67,2020/08/25,1479,407,15,21
68,2020/08/26,1501,428,22,21
69,2020/08/27,1518,445,17,17
70,2020/08/28,1536,471,18,26
71,2020/08/29,N/A,N/A,N/A,N/A
