,Elapsed days,Update,"Download(×10,000)",Positive registration,"Downlowd incremental(×10,000)",Increment of positive registration
0,0,44001,85.0,,85.0,
1,1,44002,179.0,,94.0,
2,2,44003,241.0,,62.0,
3,3,44004,270.0,,29.0,
4,4,44005,326.0,,56.0,
5,5,44006,392.0,,66.0,
6,6,44007,434.0,,42.0,
7,7,44008,446.0,,12.0,
8,8,44009,456.0,,10.0,
9,9,44010,464.0,,8.0,
10,10,44011,472.0,,8.0,
11,11,44012,481.0,,9.0,
12,12,44013,489.0,,8.0,
13,13,44014,499.0,,10.0,
14,14,44015,531.0,,32.0,
15,15,44016,194.0,,17.0,
16,16,44017,194.0,,17.0,
17,17,44018,194.0,,17.0,
18,18,44019,595.0,,13.0,
19,19,44020,610.0,,15.0,
20,20,44021,632.0,,22.0,
21,21,44022,648.0,,16.0,
22,22,44023,226.66666666666666,,10.666666666666666,
23,23,44024,226.66666666666666,,10.666666666666666,
24,24,44025,226.66666666666666,,10.666666666666666,
25,25,44026,695.0,,15.0,
26,26,44027,706.0,,11.0,
27,27,44028,726.0,16.0,20.0,16.0
28,28,44029,741.0,19.0,15.0,3.0
29,29,44030,256.3333333333333,9.0,9.333333333333334,2.6666666666666665
30,30,44031,256.3333333333333,9.0,9.333333333333334,2.6666666666666665
31,31,44032,256.3333333333333,9.0,9.333333333333334,2.6666666666666665
32,32,44033,781.0,34.0,12.0,7.0
33,33,44034,797.0,38.0,16.0,4.0
34,34,44035,174.0,11.0,14.6,3.4
35,35,44036,174.0,11.0,14.6,3.4
36,36,44037,174.0,11.0,14.6,3.4
37,37,44038,174.0,11.0,14.6,3.4
38,38,44039,174.0,11.0,14.6,3.4
39,39,44040,888.0,63.0,18.0,8.0
40,40,44041,912.0,69.0,24.0,6.0
41,41,44042,950.0,76.0,38.0,7.0
42,42,44043,996.0,92.0,46.0,16.0
43,43,44044,366.3333333333333,35.666666666666664,34.333333333333336,5.0
44,44,44045,366.3333333333333,35.666666666666664,34.333333333333336,5.0
45,45,44046,366.3333333333333,35.666666666666664,34.333333333333336,5.0
46,46,44047,1127.0,121.0,28.0,14.0
47,47,44048,1157.0,135.0,30.0,14.0
48,48,44049,1181.0,148.0,24.0,13.0
49,49,44050,1205.0,165.0,24.0,17.0
50,50,44051,318.5,52.0,17.25,10.75
51,51,44052,318.5,52.0,17.25,10.75
52,52,44053,318.5,52.0,17.25,10.75
53,53,44054,318.5,52.0,17.25,10.75
54,54,44055,1290.0,225.0,16.0,17.0
55,55,44056,1306.0,238.0,16.0,13.0
56,56,44057,1320.0,252.0,14.0,14.0
57,57,44058,454.6666666666667,95.66666666666667,14.666666666666666,11.666666666666666
58,58,44059,454.6666666666667,95.66666666666667,14.666666666666666,11.666666666666666
59,59,44060,454.6666666666667,95.66666666666667,14.666666666666666,11.666666666666666
60,60,44061,1377.0,301.0,13.0,14.0
61,61,44062,1390.0,311.0,13.0,10.0
62,62,44063,1405.0,335.0,15.0,24.0
63,63,44064,1416.0,360.0,11.0,25.0
64,64,44065,488.0,128.66666666666666,16.0,8.666666666666666
65,65,44066,488.0,128.66666666666666,16.0,8.666666666666666
66,66,44067,488.0,128.66666666666666,16.0,8.666666666666666
67,67,44068,1479.0,407.0,15.0,21.0
68,68,44069,1501.0,428.0,22.0,21.0
69,69,44070,1518.0,445.0,17.0,17.0
70,70,44071,1536.0,471.0,18.0,26.0
71,71,44072,522.3333333333334,172.33333333333334,10.333333333333334,15.333333333333334
72,72,44073,522.3333333333334,172.33333333333334,10.333333333333334,15.333333333333334
73,73,44074,522.3333333333334,172.33333333333334,10.333333333333334,15.333333333333334
74,74,44075,1577.0,533.0,10.0,16.0
75,75,44076,1587.0,553.0,10.0,20.0
76,76,44077,1599.0,571.0,12.0,18.0
77,77,44078,1609.0,590.0,10.0,19.0
78,78,44079,543.6666666666666,207.66666666666666,7.333333333333333,11.0
79,79,44080,543.6666666666666,207.66666666666666,7.333333333333333,11.0
80,80,44081,543.6666666666666,207.66666666666666,7.333333333333333,11.0
81,81,44082,1639.0,632.0,8.0,9.0
82,82,44083,1647.0,650.0,8.0,18.0
83,83,44084,1655.0,681.0,8.0,31.0
84,84,44085,1663.0,710.0,8.0,29.0
85,85,44086,561.6666666666666,249.66666666666666,7.333333333333333,13.0
86,86,44087,561.6666666666666,249.66666666666666,7.333333333333333,13.0
87,87,44088,561.6666666666666,249.66666666666666,7.333333333333333,13.0
88,88,44089,1692.0,767.0,7.0,18.0
89,89,44090,1698.0,785.0,6.0,18.0
90,90,44091,1704.0,796.0,6.0,11.0
91,91,44092,1712.0,814.0,8.0,18.0
92,92,44093,348.2,171.0,5.8,8.2
93,93,44094,348.2,171.0,5.8,8.2
94,94,44095,348.2,171.0,5.8,8.2
95,95,44096,348.2,171.0,5.8,8.2
96,96,44097,348.2,171.0,5.8,8.2
97,97,44098,1746.0,880.0,5.0,25.0
98,98,44099,1752.0,898.0,6.0,18.0
99,99,44100,589.0,307.3333333333333,5.0,8.0
100,100,44101,589.0,307.3333333333333,5.0,8.0
101,101,44102,589.0,307.3333333333333,5.0,8.0
102,102,44103,1773.0,934.0,6.0,12.0
103,103,44104,1778.0,948.0,5.0,14.0
104,104,44105,1783.0,965.0,5.0,17.0
